Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
156,Phillip Dorsett,NWE,316.7046959,2.440173675,0.522979991,26,wr,14,4,54,29,0.54,397,13.7,5,17,58,7.4,2.1,28.4,0,167,72,65,
157,Taylor Gabriel,CHI,345.6789693,2.186043181,0.537421586,28,wr,9,7,48,29,0.6,353,12.2,4,17,53,7.4,3.2,39.2,0,188,61,74,
158,Devin Singletary,BUF,172.7227164,1.362441253,1.250070499,22,RB,12,8,41,29,0.71,194,6.7,2,5,49,4.7,2.4,16.2,4,107,119,31,
159,DaeSean Hamilton,DEN,234.2187008,1.452891049,0.385889247,24,wr,16,2,52,28,0.54,297,10.6,1,19,28,5.7,1.8,18.6,0,261,36,102,
160,Dawson Knox,BUF,303.3547593,1.749796588,0.443728967,23,TE,15,11,50,28,0.56,388,13.9,2,15,49,7.8,1.9,25.9,0,213,52,29,
161,LeSean McCoy,KAN,159.4246021,1.160035534,0.996296397,31,RB,13,9,34,28,0.82,181,6.5,1,6,23,5.3,2.2,13.9,3,134,91,41,
162,Paul Richardson,WAS,237.4732601,1.631053643,0.430982318,27,wr,10,6,42,28,0.67,245,8.8,2,13,22,5.8,2.8,24.5,0,260,37,99,
163,John Ross,CIN,514.7992913,2.078392309,0.721109142,25,WR,8,8,56,28,0.5,506,18.1,3,22,66,9,3.5,63.3,1,179,67,70,
164,Greg Ward,PHI,292.9835257,1.416754576,0.47290662,24,wr,7,3,40,28,0.7,254,9.1,1,18,38,6.4,4,36.3,0,275,32,106,
165,Jarius Wright,CAR,233.9402828,1.234897029,0.366385119,30,WR,16,9,58,28,0.48,296,10.6,0,16,33,5.1,1.8,18.5,0,284,29,112,
166,Rex Burkhead,NWE,235.5397611,1.053012537,0.65903781,29,rb,13,1,38,27,0.71,279,10.3,0,10,32,7.3,2.1,21.5,1,162,74,49,
167,Josh Gordon,2TM,375.1676777,1.546762993,0.456578131,28,,11,7,47,27,0.57,426,15.8,1,16,58,9.1,2.5,38.7,0,226,47,88,
168,Zay Jones,2TM,182.3745003,1.132617184,0.334311372,24,,15,9,45,27,0.6,216,8,0,10,23,4.8,1.8,14.4,0,323,22,134,
169,Isaiah McKenzie,BUF,208.2100213,1.374722764,0.375414565,24,WR,15,8,39,27,0.69,254,9.4,1,12,46,6.5,1.8,16.9,0,263,36,100,
170,C.J. Uzomah,CIN,195.2483305,1.600545853,0.37103425,26,TE,16,16,40,27,0.68,242,9,2,12,36,6.1,1.7,15.1,0,265,36,41,
171,Mecole Hardman,KAN,396.1120064,2.718079236,0.848087727,21,wr,16,5,41,26,0.63,538,20.7,6,18,83,13.1,1.6,33.6,2,132,94,49,
172,Mark Ingram,BAL,187.4404786,1.759679958,1.250649375,30,RB,15,15,29,26,0.9,247,9.5,5,16,25,8.5,1.7,16.5,2,11,217,8,11
173,Jakobi Meyers,NWE,282.964174,1.236822653,0.374525811,23,wr,15,1,41,26,0.63,359,13.8,0,17,35,8.8,1.7,23.9,0,264,36,101,
174,Trey Quinn,WAS,183.2630978,1.306826273,0.51281628,24,wr,12,6,47,26,0.55,198,7.6,1,10,19,4.2,2.2,16.5,1,300,26,122,
175,Jeremy Sprinkle,WAS,195.0882661,1.349350871,0.488900826,25,TE,16,13,40,26,0.65,241,9.3,1,13,23,6,1.6,15.1,1,283,30,44,
176,Marquez Valdes-Scantling,GNB,339.6717861,1.764248018,0.45578535,25,WR,16,10,56,26,0.46,452,17.4,2,14,74,8.1,1.6,28.3,0,191,58,76,
177,Pharoh Cooper,2TM,211.2295765,1.319343973,0.358680721,24,,13,1,33,25,0.76,243,9.7,1,10,28,7.4,1.9,18.7,0,276,31,109,
178,Josh Hill,NOR,183.200107,1.744748044,0.380784973,29,TE,16,11,35,25,0.71,226,9,3,13,29,6.5,1.6,14.1,0,246,41,40,
179,Dion Lewis,TEN,140.355357,1.190891855,0.517056198,29,rb,16,1,32,25,0.78,164,6.6,1,7,24,5.1,1.6,10.3,1,247,41,72,
180,David Montgomery,CHI,145.8686305,0.910308177,1.015128953,22,RB,16,8,35,25,0.71,185,7.4,1,7,30,5.3,1.6,11.6,2,66,145,22,66
181,Tajae Sharpe,TEN,259.2750143,2.070400147,0.440021317,25,wr,15,6,35,25,0.71,329,13.2,4,20,47,9.4,1.7,21.9,0,196,57,77,
182,Keelan Cole,JAX,275.6612288,1.855341638,0.424490973,26,wr,16,1,35,24,0.69,361,15,3,19,55,10.3,1.5,22.6,0,201,55,80,
183,Ty Johnson,DET,102.2015957,0.860095749,0.495751597,22,rb,16,1,31,24,0.77,109,4.5,0,4,13,3.5,1.5,6.8,1,262,36,78,
184,Cody Latimer,NYG,239.6882521,1.575157751,0.3939462,27,WR,15,10,42,24,0.57,300,12.5,2,19,43,7.1,1.6,20,0,242,42,91,
185,Boston Scott,PHI,189.8883715,0.878944427,1.069545255,24,rb,11,2,26,24,0.92,204,8.5,0,10,39,7.8,2.2,18.5,4,165,73,51,
186,Will Dissly,SEA,325.3281094,1.950889655,0.657746382,23,te,6,6,27,23,0.85,262,11.4,4,14,38,9.7,3.8,43.7,1,215,51,30,
187,Isaiah Ford,MIA,262.6466568,1.044530218,0.399525826,23,,8,0,35,23,0.66,244,10.6,0,16,28,7,2.9,30.5,0,295,26,123,
188,Bennie Fowler,NYG,213.6267877,0.983091688,0.390767879,28,wr,8,2,36,23,0.64,193,8.4,0,12,17,5.4,2.9,24.1,0,317,23,130,
189,Patrick Laird,MIA,170.7580608,0.934302425,0.385055903,24,rb,15,4,30,23,0.77,204,8.9,0,13,21,6.8,1.5,13.6,0,233,45,67,
190,Keke Coutee,HOU,256.0886068,1.018719165,0.535707948,22,wr,9,4,36,22,0.61,254,11.5,0,10,51,7.1,2.4,28.2,1,277,31,108,
191,Tevin Coleman,SFO,151.0259822,0.880530931,0.623499241,26,RB,14,11,30,21,0.7,180,8.6,1,9,37,6,1.5,12.9,0,110,114,32,
192,KeeSean Johnson,ARI,186.9083941,1.152095044,0.507844356,23,wr,10,4,42,21,0.5,187,8.9,1,10,31,4.5,2.1,18.7,1,305,25,124,
193,Foster Moreau,OAK,156.5369482,2.022568454,0.39201606,22,te,13,7,25,21,0.84,174,8.3,5,14,23,7,1.6,13.4,0,228,47,33,
194,Josh Reynolds,LAR,251.0441887,1.315805313,0.380911959,24,wr,16,2,43,21,0.49,326,15.5,1,15,31,7.6,1.3,20.4,0,248,41,93,
195,Seth Roberts,BAL,213.0097682,1.477246256,0.366460811,28,,16,0,35,21,0.6,271,12.9,2,18,33,7.7,1.3,16.9,0,252,39,96,
196,Delanie Walker,TEN,249.9408001,1.405724647,0.571446098,35,te,7,4,31,21,0.68,215,10.2,2,11,29,6.9,3,30.7,1,269,34,43,
197,Josh Jacobs,OAK,139.4019161,0.421780077,0.958187126,21,RB,13,13,27,20,0.74,166,8.3,0,8,28,6.1,1.5,12.8,1,36,172,14,36
198,Kyle Juszczyk,SFO,212.867742,1.193609755,0.343635282,28,FB/rb,12,12,24,20,0.83,239,12,1,11,49,10,1.7,19.9,0,278,31,80,
199,Matt Breida,SFO,112.0628778,0.815696936,0.793099348,24,rb,13,5,22,19,0.86,120,6.3,1,6,17,5.5,1.5,9.2,2,147,84,45,
200,Jakeem Grant,MIA,166.5264305,0.818347215,0.64002973,27,wr,10,2,33,19,0.58,164,8.6,0,9,18,5,1.9,16.4,2,289,27,118,
201,Justin Hardy,ATL,161.7039791,0.893251603,0.287991837,28,wr,16,1,26,19,0.73,195,10.3,0,9,23,7.5,1.2,12.2,0,334,20,140,
202,Taysom Hill,NOR,182.8322768,2.203281024,0.49215979,29,qb,16,5,22,19,0.86,234,12.3,6,14,45,10.6,1.2,14.6,0,149,83,35,
203,Parris Campbell,IND,158.8395713,0.989801402,0.781174222,22,wr,7,3,24,18,0.75,127,7.1,1,6,27,5.3,2.6,18.1,3,331,20,139,
204,Charles Clay,ARI,193.3378094,1.15520306,0.320443786,30,TE,15,10,24,18,0.75,237,13.2,1,12,47,9.9,1.2,15.8,0,280,30,45,
205,Rhett Ellison,NYG,169.0075046,1.051239932,0.334902981,31,te,10,7,28,18,0.64,167,9.3,1,4,31,6,1.8,16.7,0,316,23,51,
206,Derrick Henry,TEN,149.9762564,0.609235842,1.86230059,25,RB,15,15,24,18,0.75,206,11.4,2,4,75,8.6,1.2,13.7,5,3,277,2,3
207,Tre'Quan Smith,NOR,213.9920208,2.035509104,0.420704949,23,wr,11,6,25,18,0.72,234,13,5,17,32,9.4,1.6,21.3,0,210,53,81,
208,Javon Wims,CHI,154.5734433,1.077293325,0.318691924,25,wr,16,6,39,18,0.46,186,10.3,1,9,37,4.8,1.1,11.6,0,308,25,126,
209,C.J. Ham,MIN,129.2650301,1.00131732,0.433043975,26,fb,16,7,26,17,0.65,149,8.8,1,6,36,5.7,1.1,9.3,1,328,21,91,
210,Marcus Johnson,IND,289.8785599,1.423542644,0.416061182,25,wr,8,6,33,17,0.52,277,16.3,2,12,50,8.4,2.1,34.6,0,250,40,95,
211,David Moore,SEA,242.6051586,1.459428671,0.664223554,24,wr,14,1,34,17,0.5,301,17.7,2,14,60,8.9,1.2,21.5,2,238,43,90,
212,Adrian Peterson,WAS,117.7557288,0.429087461,1.078027431,34,RB,15,15,23,17,0.74,142,8.4,0,7,22,6.2,1.1,9.5,3,99,130,28,
213,Vyncint Smith,NYJ,194.2192133,0.870876953,0.48741778,23,wr,13,4,31,17,0.55,225,13.2,0,11,37,7.3,1.3,17.3,1,274,32,107,
214,Nick Vannett,2TM,141.3529901,0.806433075,0.26996539,26,,16,7,22,17,0.77,166,9.8,0,5,18,7.5,1.1,10.4,0,351,17,63,
215,Ben Watson,NWE,174.1761523,0.819209326,0.304627025,39,TE,10,8,24,17,0.71,173,10.2,0,9,26,7.2,1.7,17.3,0,352,17,61,
216,Peyton Barber,TAM,98.94304582,0.674883413,0.697357307,25,rb,16,7,24,16,0.67,115,7.2,1,4,16,4.8,1,7.2,1,125,101,39,
217,Jaron Brown,SEA,184.5455737,1.327400479,0.475863902,29,wr,14,4,28,16,0.57,220,13.8,2,10,48,7.9,1.1,15.7,1,273,32,105,
218,Jesse James,DET,124.8812887,0.746677829,0.267301809,25,TE,16,11,27,16,0.59,142,8.9,0,8,23,5.3,1,8.9,0,366,14,68,
219,Tim Patrick,DEN,235.0046615,0.873249843,0.350055123,26,wr,8,2,31,16,0.52,218,13.6,0,14,38,7,2,27.3,0,325,22,135,
220,Chester Rogers,IND,164.592566,1.250242081,0.620410851,25,wr,12,6,28,16,0.57,179,11.2,2,11,27,6.4,1.3,14.9,2,282,30,111,
221,Ian Thomas,CAR,120.1998285,0.954839216,0.291800826,23,te,16,3,30,16,0.53,136,8.5,1,10,19,4.5,1,8.5,0,336,20,55,
222,Logan Thomas,DET,144.9860941,1.019471809,0.299162149,28,te,16,3,28,16,0.57,173,10.8,1,10,17,6.2,1,10.8,0,320,23,50,
223,Ameer Abdullah,MIN,86.99414669,0.820179583,0.42885142,26,,16,0,21,15,0.71,88,5.9,1,5,16,4.2,0.9,5.5,1,309,24,87,
224,Ross Dwelley,SFO,89.33487674,1.073997901,0.279632374,24,te,16,6,22,15,0.68,91,6.1,2,8,25,4.1,0.9,5.7,0,326,21,53,
225,Demetrius Harris,CLE,129.8110267,1.392760987,0.340478749,28,te,15,6,27,15,0.56,149,9.9,3,10,23,5.5,1,9.9,0,266,35,42,
226,Marcedes Lewis,GNB,133.310949,0.969799642,0.275335798,35,TE,16,11,19,15,0.79,156,10.4,1,8,25,8.2,0.9,9.8,0,324,22,52,
227,Tony Pollard,DAL,97.30228142,0.71132748,0.600379663,22,,15,0,20,15,0.75,107,7.1,1,4,21,5.4,1,7.1,1,164,74,48,
228,Malik Turner,SEA,196.6958049,1.131756792,0.318559574,23,wr,15,3,22,15,0.68,245,16.3,1,10,33,11.1,1,16.3,0,279,31,110,
229,Mark Walton,MIA,118.4353381,0.572749391,0.499949516,22,rb,7,4,21,15,0.71,89,5.9,0,3,18,4.2,2.1,12.7,1,292,27,82,
230,Justin Watson,TAM,134.4332505,1.197125406,0.310309496,24,wr,16,2,26,15,0.58,159,10.6,2,10,17,6.1,0.9,9.9,0,288,28,114,
231,Darrel Williams,KAN,152.8697553,0.900905951,0.541740293,24,,12,0,19,15,0.79,167,11.1,1,7,52,8.8,1.3,13.9,1,211,53,60,
232,Maxx Williams,ARI,163.661491,1.05704112,0.288875227,25,TE,16,10,19,15,0.79,202,13.5,1,11,28,10.6,0.9,12.6,0,302,26,48,
233,Ryquell Armstead,JAX,123.1534103,1.121211131,0.340773212,23,rb,16,1,24,14,0.58,144,10.3,2,9,31,6,0.9,9,0,257,37,76,
234,Kalen Ballage,MIA,74.60906661,0.455813191,0.359393951,24,rb,12,6,24,14,0.58,63,4.5,0,4,13,2.6,1.2,5.3,0,253,38,75,
235,Trey Burton,CHI,108.1945149,0.592032646,0.288319994,28,te,8,5,24,14,0.58,84,6,0,5,16,3.5,1.8,10.5,0,408,8,82,
236,Anthony Firkser,TEN,168.0727661,1.052336278,0.303539782,24,te,15,1,24,14,0.58,204,14.6,1,9,39,8.5,0.9,13.6,0,294,26,47,
237,Jeff Heuerman,DEN,109.0303837,0.871214752,0.269774948,27,TE,14,11,20,14,0.7,114,8.1,1,9,26,5.7,1,8.1,0,344,17,60,
238,Marlon Mack,IND,73.53933234,0.120803461,0.769123798,23,RB,14,12,17,14,0.82,82,5.9,0,2,14,4.8,1,5.9,0,42,167,17,42
239,Raheem Mostert,SFO,137.5820649,0.868684411,1.004775892,27,,16,0,22,14,0.64,180,12.9,2,6,39,8.2,0.9,11.3,2,61,151,20,61
240,James O'Shaughnessy,JAX,221.4031709,1.169811679,0.395038808,27,te,5,5,20,14,0.7,153,10.9,2,7,35,7.7,2.8,30.6,0,291,27,46,
241,Ricky Seals-Jones,CLE,188.561013,1.769698705,0.509900235,24,te,14,3,22,14,0.64,229,16.4,4,10,59,10.4,1,16.4,1,234,45,36,
242,Tavon Austin,DAL,151.5249169,0.957007181,0.474571299,29,,14,0,24,13,0.54,177,13.6,1,8,59,7.4,0.9,12.6,1,268,34,103,
243,Miles Boykin,BAL,158.6347064,1.473536399,0.33838113,23,WR,16,11,22,13,0.59,198,15.2,3,10,50,9,0.8,12.4,0,255,38,97,
244,Derek Carrier,OAK,100.2474019,0.828932493,0.27116889,29,te,16,4,19,13,0.68,108,8.3,1,4,25,5.7,0.8,6.8,0,332,20,56,
245,Frank Gore,BUF,89.49433799,0.388664514,0.471951985,36,RB,16,8,16,13,0.81,100,7.7,0,5,18,6.3,0.8,6.3,0,150,82,46,
246,Matt LaCosse,NWE,131.5518129,0.889369241,0.288098541,27,TE,11,8,19,13,0.68,131,10.1,1,6,24,6.9,1.2,11.9,0,337,19,57,
247,Scott Miller,TAM,193.2471656,1.032162014,0.336210502,22,wr,10,2,26,13,0.5,200,15.4,1,5,48,7.7,1.3,20,0,287,28,116,
248,Ty Montgomery,NYJ,88.01135993,0.548559891,0.261499223,26,rb,16,2,17,13,0.77,90,6.9,0,3,21,5.3,0.8,5.6,0,338,19,92,
249,Nick O'Leary,2TM,110.869285,0.840957408,0.41461636,27,,12,5,18,13,0.72,109,8.4,1,4,19,6.1,1.1,9.1,1,349,17,62,
250,Geoff Swaim,JAX,101.7093236,0.523196103,0.291981715,26,te,6,2,17,13,0.77,65,5,0,1,9,3.8,2.2,10.8,0,423,7,87,
251,T.J. Yeldon,BUF,167.1936022,0.637492757,0.460006577,26,,6,0,15,13,0.87,124,9.5,0,6,23,8.3,2.2,20.7,1,353,17,96,
252,Seth Devalve,JAX,133.9917205,0.676753457,0.261715312,26,te,12,6,18,12,0.67,140,11.7,0,7,20,7.8,1,11.7,0,362,14,69,
253,Chase Edmonds,ARI,99.69994954,0.654938802,0.456556672,23,rb,13,2,21,12,0.57,105,8.8,1,5,31,5,0.9,8.1,0,169,71,52,
254,Marquise Goodwin,SFO,190.0199731,1.001403778,0.324552602,29,wr,9,6,21,12,0.57,186,15.5,1,10,38,8.9,1.3,20.7,0,296,26,120,
255,N'Keal Harry,NWE,133.4810596,1.023057296,0.353140153,22,wr,7,5,24,12,0.5,105,8.8,2,7,18,4.4,1.7,15,0,290,27,117,
256,Dontrell Hilliard,CLE,92.04101516,0.513667541,0.570495735,24,,14,0,15,12,0.8,92,7.7,0,4,19,6.1,0.9,6.6,2,297,26,84,
257,Dontrelle Inman,2TM,211.3173678,0.773577123,0.317788252,30,,7,1,21,12,0.57,181,15.1,0,9,28,8.6,1.7,25.9,0,342,18,141,
258,Jake Kumerow,GNB,180.5783328,1.084950302,0.311007808,27,wr,14,4,21,12,0.57,219,18.3,1,8,49,10.4,0.9,15.6,0,286,28,115,
259,Sony Michel,NWE,79.81266011,0.178345634,0.96864194,24,RB,16,14,20,12,0.6,94,7.8,0,7,19,4.7,0.8,5.9,2,75,141,24,75
260,Byron Pringle,KAN,140.1649618,0.968711814,0.276435277,26,,16,0,16,12,0.75,170,14.2,1,7,28,10.6,0.8,10.6,0,318,23,131,
261,Damion Ratley,CLE,172.4672698,1.039732532,0.309126279,24,wr,13,3,24,12,0.5,200,16.7,1,11,46,8.3,0.9,15.4,0,301,26,121,
262,Duke Williams,BUF,272.7581181,0.955935562,0.396544818,26,wr,4,3,19,12,0.63,166,13.8,1,8,41,8.7,3,41.5,0,321,23,133,
263,Christian Blake,ATL,107.8012733,0.543033876,0.269612834,23,wr,9,3,24,11,0.46,91,8.3,0,5,13,3.8,1.2,10.1,0,397,9,157,
264,DeAndre Carter,HOU,134.7623566,0.732735808,0.520418505,26,wr,16,3,14,11,0.79,162,14.7,0,6,46,11.6,0.7,10.1,2,361,14,143,
265,Keelan Doss,OAK,151.8586421,0.652633793,0.270265218,23,wr,8,2,14,11,0.79,133,12.1,0,6,31,9.5,1.4,16.6,0,368,13,144,
266,Wayne Gallman,NYG,110.0329868,0.731152565,0.481615194,25,rb,10,2,15,11,0.73,102,9.3,1,4,21,6.8,1.1,10.2,1,258,37,77,
267,Travis Homer,SEA,64.98870057,0.41727493,0.244064385,21,rb,16,1,13,11,0.85,56,5.1,0,3,11,4.3,0.7,3.5,0,345,17,95,
268,Cordarrelle Patterson,CHI,82.11374138,0.4703835,0.285109485,28,wr,16,4,17,11,0.65,83,7.5,0,3,33,4.9,0.7,5.2,0,306,25,125,
269,Dante Pettis,SFO,112.588742,1.027183305,0.31022844,24,wr,11,4,24,11,0.46,109,9.9,2,7,21,4.5,1,9.9,0,311,24,128,
270,Ito Smith,ATL,114.8753324,0.483159751,0.32104076,24,,7,0,14,11,0.79,87,7.9,0,2,11,6.2,1.6,12.4,0,307,25,85,
271,JJ Arcega-Whiteside,PHI,137.6540277,0.975272444,0.286529074,23,wr,16,5,22,10,0.46,169,16.9,1,7,30,7.7,0.6,10.6,0,314,23,132,
272,Vernon Davis,WAS,208.3535444,0.843063642,0.361210517,35,te,4,1,19,10,0.53,123,12.3,1,4,48,6.5,2.5,30.8,0,340,18,58,
273,Brian Hill,ATL,76.02230031,0.555783184,0.394313673,24,rb,12,2,14,10,0.71,69,6.9,1,4,12,4.9,0.8,5.8,0,194,57,57,
274,Mack Hollins,2TM,109.7256107,0.625570512,0.254077125,26,,16,3,23,10,0.44,125,12.5,0,7,20,5.4,0.6,7.8,0,370,13,146,
275,Jordan Howard,PHI,76.96134714,0.42626403,0.553404649,25,rb,10,4,14,10,0.71,69,6.9,1,3,20,4.9,1,6.9,0,126,101,38,
276,Carlos Hyde,HOU,44.42281929,-0.022206925,1.245478284,29,RB,16,14,16,10,0.63,42,4.2,0,2,14,2.6,0.6,2.6,4,72,143,23,72
277,Kerryon Johnson,DET,140.2326664,0.688053717,0.624586899,22,rb,8,7,15,10,0.67,127,12.7,1,7,36,8.5,1.3,15.9,1,160,75,47,
278,Alexander Mattison,MIN,83.02386328,0.355763042,0.530478195,21,,13,0,12,10,0.83,82,8.2,0,3,17,6.8,0.8,6.3,1,190,58,55,
279,C.J. Prosise,SEA,93.26691202,0.451399733,0.413704642,25,,9,0,12,10,0.83,76,7.6,0,3,21,6.3,1.1,8.4,1,339,19,93,
280,Robert Tonyan,GNB,105.6470998,0.775487432,0.2634064,25,te,11,1,15,10,0.67,100,10,1,4,28,6.7,0.9,9.1,0,357,16,65,
281,Andrew Beck,DEN,85.91177403,0.735647899,0.242584021,23,fb,16,6,12,9,0.75,90,10,1,6,29,7.5,0.6,5.6,0,354,16,97,
282,Brandon Bolden,NWE,99.25097252,0.732577298,0.325702126,29,rb,15,2,11,9,0.82,111,12.3,1,6,29,10.1,0.6,7.4,0,240,42,70,
283,Deon Cain,2TM,115.7461544,0.630197413,0.255072583,23,,13,6,20,9,0.45,124,13.8,0,7,35,6.2,0.7,9.5,0,377,12,147,
284,Jaeden Graham,ATL,123.3242949,0.931737957,0.249033626,24,,16,0,10,9,0.9,149,16.6,1,7,53,14.9,0.6,9.3,0,327,21,54,
285,Virgil Green,LAC,79.88589725,0.700012318,0.24000418,31,te,15,4,13,9,0.69,78,8.7,1,4,15,6,0.6,5.2,0,364,14,70,
286,Andy Isabella,ARI,152.0404114,1.057558634,0.280622467,23,wr,15,1,13,9,0.69,189,21,1,4,88,14.5,0.6,12.6,0,298,26,119,
287,DeSean Jackson,PHI,316.0805035,1.184866669,0.394614677,33,wr,3,3,10,9,0.9,159,17.7,2,6,53,15.9,3,53,0,285,28,113,
288,Justin Jackson,LAC,49.41943439,0.236638085,0.29355537,24,,7,0,11,9,0.82,22,2.4,0,0,9,2,1.3,3.1,0,322,22,90,
289,Joshua Perkins,PHI,136.0760767,0.729009328,0.304332562,26,,5,0,13,9,0.69,87,9.7,1,5,24,6.7,1.8,17.4,0,358,15,67,
290,Kalif Raymond,TEN,183.1978149,1.005201401,0.426060853,25,wr,8,1,12,9,0.75,170,18.9,1,6,52,14.2,1.1,21.3,1,330,21,136,
291,Adam Shaheen,CHI,96.85280082,0.466047983,0.382862724,25,te,8,2,13,9,0.69,74,8.2,0,3,18,5.7,1.1,9.3,1,421,7,84,
292,Wendell Smallwood,WAS,70.74797352,0.407364355,0.243389037,25,,15,0,13,9,0.69,64,7.1,0,4,18,4.9,0.6,4.3,0,360,15,98,
293,Darwin Thompson,KAN,59.21940703,0.310351974,0.265960595,23,,12,0,10,9,0.9,43,4.8,0,2,19,4.3,0.8,3.6,0,319,23,89,
294,Laquon Treadwell,MIN,157.3431109,1.044281492,0.288009437,24,wr,13,1,16,9,0.56,184,20.4,1,8,58,11.5,0.7,14.2,0,312,24,127,
295,Damion Willis,CIN,94.94235695,0.491850931,0.244008975,22,wr,10,2,16,9,0.56,82,9.1,0,3,17,5.1,0.9,8.2,0,411,8,159,
296,Mo Alie-Cox,IND,87.53485234,0.528919351,0.215208017,26,te,16,2,11,8,0.73,93,11.6,0,5,21,8.5,0.5,5.8,0,395,9,79,
297,Dan Arnold,2TM,183.3835539,1.096364858,0.336403626,24,,5,1,14,8,0.57,127,15.9,2,6,37,9.1,1.6,25.4,0,303,25,49,
298,Blake Bell,KAN,72.68670016,0.432596576,0.222404545,28,te,15,7,15,8,0.53,67,8.4,0,3,30,4.5,0.5,4.5,0,414,7,85,
299,Antonio Callaway,CLE,157.7078895,0.512949037,0.305353666,22,wr,4,2,15,8,0.53,89,11.1,0,3,41,5.9,2,22.3,0,398,9,158,
300,Tyler Conklin,MIN,66.91691152,0.400405502,0.200165261,24,te,15,1,10,8,0.8,58,7.3,0,2,20,5.8,0.5,3.9,0,427,6,89,
301,Trevor Davis,3TM,102.1198573,0.570003006,0.680998305,26,,14,4,11,8,0.73,111,13.9,0,4,28,10.1,0.6,7.9,3,333,20,137,
302,Hale Hentges,WAS,106.1039479,0.788436188,0.260232267,23,te,11,4,14,8,0.57,103,12.9,1,6,24,7.4,0.7,9.4,0,356,16,64,
303,Justice Hill,BAL,70.26107414,0.342346228,0.340874551,22,,16,0,15,8,0.53,70,8.8,0,5,14,4.7,0.5,4.4,0,241,42,71,
304,Chris Hogan,CAR,94.8208002,0.432596576,0.252876308,32,wr,7,1,15,8,0.53,67,8.4,0,3,13,4.5,1.1,9.6,0,418,7,165,
305,Jesper Horsted,CHI,122.7503776,0.733385783,0.405647688,22,te,6,1,10,8,0.8,87,10.9,1,4,20,8.7,1.3,14.5,1,371,13,73,
306,Rashaad Penny,SEA,89.69840957,0.558460145,0.567925032,23,,10,0,11,8,0.73,83,10.4,1,3,30,7.5,0.8,8.3,1,178,67,53,
307,Patrick Ricard,BAL,59.16634603,0.611949667,0.184744302,25,fb,16,7,11,8,0.73,47,5.9,1,3,10,4.3,0.5,2.9,0,,,,
308,Luke Stocker,ATL,63.52857656,0.38099068,0.354000992,31,TE,15,9,14,8,0.57,53,6.6,0,2,18,3.8,0.5,3.5,1,445,5,90,
309,Tommy Sweeney,BUF,152.1374258,0.609271811,0.270288182,24,te,6,1,13,8,0.62,114,14.3,0,4,29,8.8,1.3,19,0,383,11,75,
310,Ryan Switzer,PIT,52.15244007,0.284667905,0.356372792,25,,9,0,11,8,0.73,27,3.4,0,2,8,2.5,0.9,3,1,476,3,186,
311,Luke Willson,SEA,100.347507,0.4775639,0.232328111,29,te,8,7,10,8,0.8,79,9.9,0,5,17,7.9,1,9.9,0,412,8,83,
312,Brandon Zylstra,CAR,124.524741,0.577331184,0.39272015,26,,8,0,12,8,0.67,106,13.3,0,5,40,8.8,1,13.3,1,384,11,150,
313,Daniel Brown,NYJ,72.98927543,0.674381874,0.229953629,27,te,16,5,11,7,0.64,72,10.3,1,4,24,6.5,0.4,4.5,0,367,13,71,
314,Mike Davis,2TM,44.72596077,0.22935895,0.196272534,26,,12,1,8,7,0.88,22,3.1,0,1,7,2.8,0.6,1.8,0,437,5,123,
315,Gus Edwards,BAL,49.94684382,0.096330035,0.734227795,24,rb,16,1,7,7,1,45,6.4,0,2,10,6.4,0.4,2.8,2,139,86,43,
316,Myles Gaskin,MIA,76.92244495,0.307580862,0.301848694,22,,7,0,12,7,0.58,51,7.3,0,2,20,4.3,1,7.3,0,310,24,86,
317,Derrius Guice,WAS,121.2266792,0.597408669,0.39620325,22,rb,5,1,9,7,0.78,79,11.3,1,2,45,8.8,1.4,15.8,0,218,50,62,
